SID,name,data_set,lat,lon,shelter_type
205,Bromley Shelter,TNL,43.22238,-72.95048,Shelter
206,Peru Peak,ATC,43.301214,-72.952822,Log/Lumber
207,Lost Pond Shelter,TNL,43.3476,-72.95257,Shelter
208,Old Job Shelter,TNL,43.35404,-72.92845,Shelter
209,Big Branch,ATC,43.36415,-72.94688,Other
210,Lula Tye Shelter,TNL,43.39543,-72.95466,Shelter
211,Little Rock Pond,ATC,43.398837,-72.955171,Timber_Frame
212,Little Rock Pond Shelter,TNL,43.40408,-72.95315,Shelter
213,Greenwall,ATC,43.44061,-72.92996,Other
214,Minerva Hinchey,ATC,43.48788,-72.92502,Other
215,Clarendon Shelter,TNL,43.52354,-72.91257,Shelter
216,Governor Clement Shelter,TNL,43.56465,-72.84836,Shelter
217,Cooper Lodge,TNL,43.60606,-72.82249,Unknown
218,Pico Camp,ATC,43.63893,-72.8315,Unknown
219,Churchill Scott Shelter,TNL,43.64489,-72.8534,Shelter
220,Tucker Johnson removed,TNL,43.67943,-72.84295,Unknown
221,Gifford Woods State Park,TNL,43.67607,-72.8112,Unknown
222,Stony Brook Shelter,TNL,43.69176,-72.73015,Shelter
223,Wintturi Shelter,TNL,43.66218,-72.62193,Shelter
224,Cloudland Shelter,TNL,43.69214,-72.49312,Shelter
225,Thistle Hill Shelter,TNL,43.69518,-72.47532,Shelter
226,Happy Hill,ATC,43.724072,-72.365667,Stone/Log
227,Velvet Rocks,ATC,43.702583,-72.26521,Timber_Frame
228,Moose Mountain,ATC,43.727215,-72.149779,Log
229,Trapper John,ATC,43.783122,-72.111921,Stick_w/Lumber_sidng
230,Smarts Mountain Cabin,TNL,43.82535,-72.03737,Unknown
231,Hexacuba Shelter,TNL,43.87623,-72.02686,Shelter
232,Ore Hill camp,TNL,43.92183,-71.95744,Unknown
233,Jeffers Brook Shelter,TNL,43.99668,-71.88895,Shelter
234,Beaver Brook,ATC,44.03308,-71.811842,Log
235,Eliza Brook Campsite Shelter,TNL,44.10074,-71.74182,Shelter
236,Kinsman Pond Campsite Shelter,TNL,44.13681,-71.7323,Shelter
237,Lonesome Lake Hut,TNL,44.13842,-71.70312,Hut
238,Greenleaf Hut,TNL,44.16024,-71.66024,Hut
239,Garfield Ridge,ATC,44.190723,-71.608894,Log/Lumber
240,Galehead Hut,TNL,44.18777,-71.56885,Hut
241,Guyot,ATC,44.161078,-71.535578,Log/Lumber
242,Zealand Falls Hut,TNL,44.19583,-71.49431,Hut
243,Ethan Pond Campsite Shelter,TNL,44.17715,-71.42659,Shelter
244,Mizpah Spring Hut,TNL,44.2193,-71.36956,Hut
245,Lake of the Clouds Hut,TNL,44.2589,-71.31879,Hut
246,The Perch Shelter,TNL,44.32446,-71.31048,Shelter
247,Gray Knob,TNL,44.33226,-71.31004,Unknown
248,Crag Camp,TNL,44.33491,-71.30202,Unknown
249,Madison Springs Hut,TNL,44.32779,-71.28318,Hut
250,Hermit Lake Shelter (2 of 2),TNL,44.2613,-71.28588,Shelter
251,Carter Notch Hut,TNL,44.25926,-71.19533,Hut
252,Imp Campsite Shelter,TNL,44.32886,-71.15004,Shelter
253,Rattle River Shelter,TNL,44.3799,-71.10743,Shelter
254,Gentian Pond Campsite Shelter,TNL,44.4518,-71.06938,Shelter
255,Carlo Col,ATC,44.488704,-71.016735,Log
256,Full Goose,ATC,44.525252,-70.9814,Log w/siding
257,Speck Pond Shelter,TNL,44.56469,-70.97362,Shelter
258,Baldpate Lean-to,TNL,44.59842,-70.91167,Lean-to
259,Frye Notch Lean-to,TNL,44.62791,-70.89983,Lean-to
260,Hall Mountain Lean-to,TNL,44.70079,-70.82473,Lean-to
261,Bemis Mountain Lean-to,TNL,44.81018,-70.75588,Lean-to
262,Sabbath Day Pond Lean-to,TNL,44.84094,-70.66212,Lean-to
263,Piazza Rock Lean-to,TNL,44.90418,-70.53004,Lean-to
