shelter,data_set,lat,lon,type
Johns Spring Shelter,TNL,37.385370,-80.074030,Shelter
Walnut Mountain,ATC,35.836408,-82.936630,Log
East Branch Lean-to,TNL,45.596760,-69.198160,Lean-to
Curly Maple Gap,ATC,36.104229,-82.397012,Cinder_Block
Cold Spring Shelter,TNL,35.231090,-83.559960,Shelter
Cosby Knob,ATC,35.728228,-83.182110,Stone/Log
Mollies Ridge Shelter,TNL,35.545880,-83.793500,Shelter
Bearfence Mountain Hut,TNL,38.444090,-78.470410,Hut
Springer Mountain,ATC,34.629337,-84.192779,Post_&_Beam
Sarver Hollow,ATC,37.354620,-80.337620,Stick_w/Lumber_sidng
Double Spring Gap,ATC,35.565075,-83.542729,Stone
Partnership,ATC,36.809451,-81.422557,Log/Lumber
Roan High Knob,ATC,36.104970,-82.122370,Unknown
James Fry Shelter,TNL,40.062950,-77.206110,Shelter
Sarver Hollow Shelter,TNL,37.354690,-80.337410,Shelter
Spring Mountain,ATC,35.951714,-82.790282,Log/Lumber
Guyot,ATC,44.161078,-71.535578,Log/Lumber
Big Branch,ATC,43.364150,-72.946880,Other
Low Gap,ATC,34.776154,-83.824601,Log w/siding
Speck Pond Shelter,TNL,44.564690,-70.973620,Shelter
Walnut Mountain Shelter,TNL,35.836500,-82.936490,Shelter
Moreland Gap Shelter,TNL,36.220150,-82.088310,Shelter
Carter Gap Shelter (old),TNL,34.999980,-83.494760,Shelter
Churchill Scott Shelter,TNL,43.644890,-72.853400,Shelter
Fullhardt Knob Shelter,TNL,37.398520,-79.853670,Shelter
Bears Den Hostel,TNL,39.110930,-77.854090,Unknown
Vandeventer,ATC,36.366960,-82.058896,Cinder_Block
Campbell,ATC,37.390755,-80.029446,Lumber
Beaver Brook,ATC,44.033080,-71.811842,Log
Chairback Gap Lean-to,TNL,45.453110,-69.261740,Lean-to
Antietam Shelter,TNL,39.793800,-77.482570,Shelter
Double Springs,ATC,36.509043,-81.986324,Cinder_Block
Leroy A. Smith,ATC,40.839390,-75.359780,Log
Mizpah Spring Hut,TNL,44.219300,-71.369560,Hut
Bobblet's Gap,ATC,37.467050,-79.701440,Stick_w/ply_siding
Melville Nauheim Shelter,TNL,42.887820,-73.095070,Shelter
Low Gap Shelter,TNL,34.776250,-83.824500,Shelter
Sam Moore,ATC,39.090630,-77.886570,Unknown
Icewater Spring,ATC,35.629756,-83.386280,Stone/Log
Mount Algo Lean-to,ATC,41.731808,-73.496265,Log/Lumber
Harpers Creek Shelter,TNL,37.856190,-79.000500,Shelter
Horns Pond Lean-to (west),ATC,45.143930,-70.330220,Log/Lumber
Woods Hole,ATC,34.737120,-83.955050,Log/Lumber
Chatfield Shelter,TNL,36.850030,-81.363170,Shelter
Hurricane Mountain,ATC,36.715475,-81.509666,Log
Rocky Mountain,ATC,39.868502,-77.500911,Lumber
Punchbowl Shelter,TNL,37.677880,-79.338440,Shelter
Silers Bald,ATC,35.564263,-83.568248,Stone/Log
Thunder Hill Shelter,TNL,37.527460,-79.503900,Shelter
Mount Wilcox North Lean-to,ATC,42.221100,-73.250659,Log/Lumber
Tom Floyd Wayside,ATC,38.850420,-78.163950,Other
Bryant Ridge Shelter,TNL,37.530150,-79.585570,Shelter
Gifford Woods State Park,TNL,43.676070,-72.811200,Unknown
Kinsman Pond Campsite Shelter,TNL,44.136810,-71.732300,Shelter
Gren Anderson,ATC,41.199483,-74.753050,Log/Lumber
Tom's Run,ATC,40.033647,-77.357109,Lumber
Lula Tye Shelter,TNL,43.395430,-72.954660,Shelter
Hexacuba Shelter,TNL,43.876230,-72.026860,Shelter
Devils Racecourse Shelter,TNL,39.671970,-77.524100,Shelter
West Mountain Shelter,TNL,41.282360,-74.009200,Shelter
Congdon,ATC,42.848096,-73.110427,Log/Lumber
Campbell Shelter,TNL,37.390820,-80.029220,Shelter
William Brien Memorial Shelter,TNL,41.279730,-74.059290,Shelter
Helveys Mill Shelter,TNL,37.130780,-81.102950,Shelter
