shelter,data_set,lat,lon,type
Icewater Spring Shelter,TNL,35.629790,-83.386270,Shelter
Trimpi,ATC,36.749158,-81.480545,Stone
Bailey Gap,ATC,37.400890,-80.577230,Post_&_Beam
Horns Pond Lean-tos,TNL,45.143880,-70.329660,Lean-to
William Brien Memorial,ATC,41.279741,-74.059728,Stone/Log
Carlo Col Shelter,TNL,44.488670,-71.016180,Shelter
Full Goose Shelter,TNL,44.525150,-70.980880,Shelter
Russell Field Shelter,TNL,35.561900,-83.766900,Shelter
Paul C. Wolfe Shelter,TNL,37.985430,-78.883670,Shelter
Spence Field Shelter,TNL,35.561700,-83.732200,Shelter
Laurel Fork,ATC,36.278670,-82.136390,Stone
Churchhill Scott,ATC,43.644910,-72.853890,Post_&_Beam
Silers Bald Shelter,TNL,35.564300,-83.568220,Shelter
Upper Goose Pond Cabin,TNL,42.288020,-73.181420,Unknown
Tray Mountain Shelter,TNL,34.804130,-83.676780,Shelter
Brink Road,ATC,41.153231,-74.838186,Log/Lumber
Dick's Dome,ATC,38.969664,-77.997501,Lumber
Big Spring Gap,ATC,35.058918,-83.478898,Stick_w/T1_siding
Kirkridge,ATC,40.936720,-75.186800,Other
Laurel Creek,ATC,37.358896,-80.420894,Post_&_Beam
Blackburn Trail Center,TNL,39.187650,-77.798030,Unknown
Clark's Ferry,ATC,40.392229,-76.994080,Stick_w/T1_siding
Laurel Creek Shelter,TNL,37.358960,-80.420680,Shelter
Kid Gore Shelter,TNL,43.014060,-73.042940,Shelter
Zealand Falls Hut,TNL,44.195830,-71.494310,Hut
Stratton Pond,ATC,43.100531,-72.964509,Post_&_Beam
Ed Garvey,ATC,39.359792,-77.662040,Log/Lumber
Smarts Mountain Cabin,TNL,43.825350,-72.037370,Unknown
Horns Pond Lean-to (east),ATC,45.143930,-70.330250,Log/Lumber
Cornelius Creek,ATC,37.493795,-79.547243,Stick_w/Lumber_sidng
Jenny Knob Shelter,TNL,37.155040,-80.980130,Shelter
Pine  Knob,ATC,39.542479,-77.602121,Log
Darlington,ATC,40.301980,-77.087230,Stick_w/T1_siding
Cable Gap,ATC,35.415165,-83.773522,Log
Davenport Gap,ATC,35.769189,-83.123584,Stone/Log
Lake of the Clouds Hut,TNL,44.258900,-71.318790,Hut
Bake Oven Knob Shelter,TNL,40.754110,-75.727010,Shelter
Moreland Gap,ATC,36.220062,-82.088476,Cinder_Block
Johns Hollow,ATC,37.612721,-79.392031,Log/Lumber
Wadleigh Stream Lean-to,TNL,45.747020,-69.144470,Lean-to
